Тип ячейки,Высказывание с параметром (Обозначение параметра в тексте высказывания - Х),Тема,Область допустимых значений (ОДЗ) параметра,Введено в блокчейн
Категориальная,"Совет РО считает, что количество выбросов X.",Экология,"Приемлемо, Неприемлемо, Неизвестно и сделать вывод невозможно",ДА
Категориальная,Совет РО считает свои действия X сопричастными действиям органа центрального руководства Партии.,Внутренняя политика,"Абсолютно, Скорее, Скорее не, Не",НЕТ
Цифровая,"Совет РО считает, что количество средств от споносоров для эффективной деятельности РО должно равняться как минимум Х.",Внутренняя политика,Количество знаков после запятой: 2,НЕТ
Цифровая,"Совет РО считает, что количество сторонников РО необходимое для узнаваемости партии равняется Х.",Внутренняя политика,Количество знаков после запятой: 0,НЕТ
Цифровая,Члены нашего РО оценивают нашу работу за год как Х,Организация работы РО,"[1..7], где 1 - неэффективно, 7 - максимально эффективно. Количество знаков после запятой: 0",НЕТ
Категориальная,"Совет РО считает, что замороженные ЕС средства нужно отдать РФ на восстановление Курской и Белгородской области ",Внешняя политика,"Да, Нет, Не знаю",НЕТ
Категориальная,"Совет РО считает, что в платформе ПАСЕ должны быть представители оппозиции, проживающие на территории РФ",Внешняя политика,"Да, Нет, Не знаю",НЕТ
Категориальная,"Совет РО считает, что нужно призывать население не использовать МАХ ",Свобода интернета,"Да, Нет, Не знаю",НЕТ
Категориальная,"Совет РО считает, что недопустимо поднимать вопрос о разморозке активов ЕС до подписания мирного договора",Внешняя политика,"Да, Нет, Не знаю",НЕТ
Категориальная,"Совет РО считает, что главные проблемы страны сегодня, это Х",Внешняя политика,"война, путин, репрессии, коррупция, пропаганда, экология, транспорт, блокировки интернета, образование, здравоохранение, другое",НЕТ
Категориальная,"Совет РО считает, что следующая (Х) партийная активность является политической",Работа РО,"письма ПЗК, митинги, благотворительные акции, петиции, обращения в госорганы, экоакции, зоозащита, дебаты, киноклуб, выборы, другое ",НЕТ
Цифровая,"Совет РО считает, что минимальные взносы должны составлять Х",Организация работы РО,Количество знаков после запятой: 0,НЕТ
Категориальная,"Совет РО считает, что взносы должны идти на Х",Организация работы РО,"премии, аренду помещения под собрания, юрист, ЧП, аренду оборудования, другое",НЕТ
Категориальная,"Совет РО считает, что допустима самоцензура в официальных социальных сетях регионального отделения ",Внутренняя политика партии,"Абсолютно допустима, скорее допустима, не знаю, скорее не допустима, абслютно недопустима ",НЕТ
Категориальная,"Совет РО считает, что партия «Рассвет» и её представители должны вести более активную информационную деятельность в СМИ и соцсетях",Внутренняя политика партии,"Да, Нет, Не знаю",НЕТ
Цифровая,"Совет РО считает, что если бы партия «Рассвет» была официально допущена к выборам в Государственную Думу, то она набрала бы X процентов избирателей",Электоральная политика партии ,Количество знаков после запятой: 0,ДА
Категориальная,"Совет РО считает, что курс политической партии «Рассвет» понятен (X)",Внутренняя политика партии,"Абсолютно понятен, скорее понятен, скорее не понятен, абсолютно не понятен ",НЕТ
Категориальная,"Совет РО считает, что в политической партии «Рассвет» должен быть менеджер по связям с общественностью/СМИ (X)",Внутренняя политика партии,"Абсолютно согласен, скорее согласен, скорее не согласен, абсолютно не согласен",НЕТ
Цифровая,"Совет РО считает, что член регионального отделения может уделять X часов на деятельности партии в неделю",Внутренняя политика партии,Количество знаков после запятой: 0,НЕТ
Цифровая,"Совет РО считает, что региональное отделение партии должно организовывать X очных мероприятий в месяц",Организация работы РО,Количество знаков после запятой: 0,НЕТ
Категориальная,"Совет РО считает, что РО проводит успешно (X) мероприятия ",Организация работы РО,"Успешно, Скорее успешно, Скорее не успешно, Безуспешно ",НЕТ
Категориальная,"Совет РО считает, что необходимо (X) сотрудничать с другими политическими силами Челябинской области ",Союз с другими политическими силами ,"Абсолютно согласен, скорее согласен, скорее не согласен, абсолютно не согласен",НЕТ
Цифровая,"Совет РО считает, что минимальный бюджет регионального отделения партии для эффективной деятельности в месяц должен составлять X рублей ",Организация работы РО,Количество знаков после запятой: 0,НЕТ
Цифровая,"Совет РО считает, что для узнаваемости регионального отделения у него должно быть X сторонников",Организация работы РО,Количество знаков после запятой: 0,НЕТ
